,Iteration: Iteration,Continuity: Continuity,Energy: Energy,Isentropic Efficiency Monitor: Expression,MFA Ps 1 Monitor: Mass Flow Averaged of Absolute Pressure (Pa),MFA Ps 3 Monitor: Mass Flow Averaged of Absolute Pressure (Pa),MFA Ps Outlet Monitor: Mass Flow Averaged of Absolute Pressure (Pa),MFA Pt Inlet Monitor: Mass Flow Averaged of Absolute Total Pressure (Pa),MFA Pt Outlet Monitor: Mass Flow Averaged of Absolute Total Pressure (Pa),MFA Tt Inlet Monitor: Mass Flow Averaged of Total Temperature (K),MFA Tt Outlet Monitor: Mass Flow Averaged of Total Temperature (K),Mass Flow  Volute Monitor: Mass Flow of Mass Flow Rate (lb/s),Mass Flow Error Monitor: Expression,Mass Flow Impeller Monitor: Mass Flow of Mass Flow Rate (lb/s),PRts Monitor: Expression,Sdr: Sdr,Tke: Tke,Torque Monitor: Moment (N-m),X-momentum: X-momentum,Y-momentum: Y-momentum,Z-momentum: Z-momentum,Iteration: Iteration.1,Physical Time: Physical Time (s)
2873,2874,0.450077512035639,0.500810521372714,0.819697839101561,99992.7959895909,122724.581296776,141855.0,101325.0,146130.150941478,298.0,338.09463868042,0.273142642725727,0.0429219364904845,-0.0435698052603017,1.4,0.0001579179502785,0.000267277473104,-0.0814801091954431,0.0701645311875847,0.183948089222484,0.103941490042421,2874,
2874,2875,0.371329994456189,0.41320239065295,0.810702689077085,99999.8079622053,122864.655021149,141855.0,101325.0,145831.616390572,298.0,338.301115548504,0.259945977653096,0.0050019532787104,-0.0435410358813842,1.4,0.0002292198952184,0.0074172426137584,-0.0814700288014308,0.0602280511421251,0.159583526861145,0.0897537075620645,2875,
2875,2876,0.28808419341571,0.320569339498584,0.803008275215849,100008.425397517,123018.300036954,141855.0,101325.0,145596.426739815,298.0,338.497423326359,0.249058758161393,0.0479406038513006,-0.0434997975703508,1.4,0.0002063215660356,0.010408308466269,-0.0814554889412147,0.0539353496329808,0.139016259212208,0.0796665845842913,2876,
2876,2877,0.209660597157676,0.233294310118385,0.796424488532072,100009.256858334,123039.178331651,141855.0,101325.0,145412.790982239,298.0,338.682583477525,0.240221331232296,0.0851358782571893,-0.0434454642071448,1.4,0.0001358783237205,0.011396442923995,-0.0814333471176752,0.0502078423664925,0.121131594504179,0.0728554698920886,2877,
2877,2878,0.148582208053877,0.165380645147039,0.790160258649075,100010.133529032,123061.276166076,141855.0,101325.0,145160.40625541,298.0,338.797621368342,0.227530420031073,0.145523597423851,-0.0434402442128924,1.4,0.0001465617521981,0.0115553925667053,-0.0814372532185485,0.0490482698736327,0.105944624714101,0.0718834447530755,2878,
2878,2879,0.122311002142752,0.136266640846395,0.784747546754357,100011.048671837,123084.817380711,141855.0,101325.0,144950.920000814,298.0,338.905415032192,0.216408223323421,0.204246757034258,-0.0434348168554625,1.4,0.0001278308199225,0.0110935850862982,-0.0814395882547817,0.0498473490861561,0.092763874731312,0.0735441423261573,2879,
2879,2880,0.140852446525543,0.157065014860707,0.780113365601551,100012.162403992,123113.375418978,141855.0,101325.0,144779.374160567,298.0,339.005268619711,0.206778877176373,0.260165182798173,-0.0434292569259609,1.4,0.0001162434459897,0.0102623502884185,-0.0814407818262795,0.0517439976940006,0.0812591812452996,0.0765144439866045,2880,
2880,2881,0.181541242238935,0.202497052680996,0.776167335782857,100013.356533374,123144.078541507,141855.0,101325.0,144644.424632783,298.0,339.10047693341,0.198854800501433,0.310183728762847,-0.0434227206672266,1.4,9.93431595380639e-05,0.0095479263765433,-0.0814409516501787,0.0544035135821951,0.071230862078049,0.0804522858953017,2881,
2881,2882,0.223543100236374,0.249370997561414,0.772795834576635,100014.778720917,123180.706644432,141855.0,101325.0,144536.965519762,298.0,339.189149905528,0.192305053715715,0.354593296136524,-0.0434158560960803,1.4,8.69469414408836e-05,0.0089756628593211,-0.0814402650325103,0.0570049155625149,0.0625037404516932,0.084249430325641,2882,
2882,2883,0.258792389390112,0.288715053525348,0.769937546335472,100016.53369283,123225.05224207,141855.0,101325.0,144456.192682255,298.0,339.273645675777,0.187222856654438,0.391109195288096,-0.043407906243349,1.4,7.66532644966459e-05,0.0085517753510055,-0.0814387663143888,0.0590922344641942,0.0548586810918662,0.0871509703079269,2883,
2883,2884,0.285544296962189,0.318587552353901,0.767468498303751,100018.397215399,123272.582248708,141855.0,101325.0,144397.350756963,298.0,339.356412680858,0.183476434492639,0.419200640609258,-0.0433983122281092,1.4,6.74938099096914e-05,0.0082968256693411,-0.0814360832630863,0.0607328911544726,0.0481877081896427,0.0891162255478515,2884,
