,Iteration: Iteration,Continuity: Continuity,Energy: Energy,Isentropic Efficiency Monitor: Expression,MFA Ps 1 Monitor: Mass Flow Averaged of Absolute Pressure (Pa),MFA Ps 3 Monitor: Mass Flow Averaged of Absolute Pressure (Pa),MFA Ps Outlet Monitor: Mass Flow Averaged of Absolute Pressure (Pa),MFA Pt Inlet Monitor: Mass Flow Averaged of Absolute Total Pressure (Pa),MFA Pt Outlet Monitor: Mass Flow Averaged of Absolute Total Pressure (Pa),MFA Tt Inlet Monitor: Mass Flow Averaged of Total Temperature (K),MFA Tt Outlet Monitor: Mass Flow Averaged of Total Temperature (K),Mass Flow  Volute Monitor: Mass Flow of Mass Flow Rate (lb/s),Mass Flow Error Monitor: Expression,Mass Flow Impeller Monitor: Mass Flow of Mass Flow Rate (lb/s),PRts Monitor: Expression,Sdr: Sdr,Tke: Tke,Torque Monitor: Moment (N-m),X-momentum: X-momentum,Y-momentum: Y-momentum,Z-momentum: Z-momentum,Iteration: Iteration.1,Physical Time: Physical Time (s)
19133,19134,0.0489148443834076,0.0524803549812702,0.662569208999863,100361.336906307,131287.379598244,146921.25,100781.532610082,148278.219784161,298.0,350.460601747815,0.150465514529314,0.10317710806261,-0.0224901529795044,1.45781916780756,1.76926256940351e-05,0.0019615801929183,-0.0599395159301149,0.0067869539621676,0.0009046121291179,0.0240007597075517,19134,
19134,19135,0.0419878720697625,0.0476409391614723,0.666061465132209,100337.06199,131321.270242024,146921.25,100695.320096222,148278.567085186,298.0,350.308050730435,0.150511121128034,0.103448855701251,-0.0224901529795044,1.45906731176389,1.96165148029865e-05,0.0019100192830462,-0.0599508833755742,0.0072156643034408,0.0009640822728542,0.020704935290894,19135,
19135,19136,0.0360787226968586,0.0453774643594616,0.669366874647572,100312.529418985,131356.417791819,146921.25,100622.717239663,148278.951104906,297.999999999999,350.152598119836,0.150559807879046,0.103738774790195,-0.0224901529795044,1.46012008053871,1.98143814563212e-05,0.0018487826720764,-0.0599618016867969,0.0078309653796564,0.0010591567975849,0.0180937455798733,19136,
19136,19137,0.0310308462150956,0.0460130102881242,0.672509791104031,100287.968084898,131392.320123252,146921.25,100561.679410416,148279.358632966,298.000000000002,349.995084759011,0.150610420934495,0.104039965895083,-0.0224901529795044,1.46100632826923,1.95000413737019e-05,0.0017808117594798,-0.0599720039625858,0.0085070475908485,0.0011703538318286,0.0159274726667702,19137,
19137,19138,0.0267248745326923,0.0492468673582454,0.675512588999249,100263.590128008,131428.676673519,146921.25,100510.322538313,148279.779140549,298.000000000001,349.836301261161,0.150662023722054,0.104346838417822,-0.0224901529795044,1.46175284577359,1.91610705455952e-05,0.0017084576645624,-0.0599812754475987,0.0092985517486476,0.0012657097330868,0.0141319254051515,19138,
19138,19139,0.0230591790719196,0.0537371131525476,0.678392047183144,100239.545151031,131465.423395383,146921.25,100467.045516148,148280.204534497,298.0,349.677089185518,0.150713890746023,0.104655070550708,-0.0224901529795044,1.46238250806714,1.8885128753342e-05,0.0016325172223835,-0.0599894053646971,0.010092761086707,0.0012904678221909,0.0126452244005203,19139,
19139,19140,0.0199476395707771,0.0585310982448315,0.681161239284451,100215.949974827,131502.538536779,146921.25,100430.481121336,148280.628225307,298.0,349.518255865901,0.150765413943237,0.104961049436501,-0.0224901529795044,1.46291492741626,1.86604446697667e-05,0.0015564982124425,-0.0599962545315748,0.0106992360950019,0.0012622683697544,0.011418362916627,19140,
19140,19141,0.0173167200895224,0.0632955319088491,0.683828280954278,100192.897071515,131539.914596502,146921.25,100399.486620719,148281.042481222,297.999999999999,349.360674169595,0.150815896466658,0.105260645340139,-0.0224901529795044,1.46336654643491,1.84733634432479e-05,0.0014834933543954,-0.0600017094589557,0.0111862958474235,0.001215514940187,0.0104138217814209,19141,
19141,19142,0.0151106372966492,0.0672682941948196,0.686397929657524,100170.455800192,131577.475784045,146921.25,100373.085589048,148281.439547447,298.0,349.205236832412,0.150864626509496,0.10554965070932,-0.0224901529795044,1.46375145426466,1.83013814412107e-05,0.0014157952680912,-0.0600056617261962,0.0113963866450891,0.0011656366152265,0.0095976493475314,19142,
19142,19143,0.0132731738603572,0.0703632830279517,0.688872556677864,100148.681402056,131615.13130067,146921.25,100350.471204747,148281.813609297,298.000000000001,349.052777351447,0.15091106219384,0.105824875159257,-0.0224901529795044,1.46408131657133,1.81274944736476e-05,0.0013577206713533,-0.0600080376684361,0.011383421829765,0.0011391704572002,0.0089446582162567,19143,
19143,19144,0.0117542943131029,0.0733515697352348,0.691251483921957,100127.604965703,131652.648601648,146921.25,100330.986777633,148282.156666507,297.999999999999,348.904140231387,0.150954485072561,0.106082089497623,-0.0224901529795044,1.46436564334433,1.79435410401275e-05,0.0013140922602489,-0.0600087653103157,0.011228121463789,0.0011593925469529,0.0084366353038607,19144,
19144,19145,0.0105220887528886,0.0775166284740165,0.693532386328062,100107.251496328,131689.689019758,146921.25,100314.067239491,148282.460355447,297.999999999998,348.760157055361,0.150994144550826,0.106316882164897,-0.0224901529795044,1.46461263153888,1.77552176485705e-05,0.0012888727860221,-0.0600077867279506,0.0113703535954737,0.0012306573509546,0.008053259870782,19145,
19145,19146,0.0095453167393673,0.0824856608499709,0.695711658167585,100087.63604397,131726.05694023,146921.25,100299.235644388,148282.718201692,297.999999999999,348.621626016181,0.151029452723402,0.106525810404945,-0.0224901529795044,1.46482920887763,1.75387659589407e-05,0.001283501902342,-0.0600051021923828,0.011264913612973,0.0013532921940273,0.0077667595357047,19146,
19146,19147,0.0087947500285077,0.0866954369023444,0.697784840035586,100068.767255892,131761.752487789,146921.25,100286.113812565,148282.923338009,298.000000000001,348.489264747434,0.151059794331932,0.106705272082438,-0.0224901529795044,1.4650208729256,1.72986824962047e-05,0.0012979219643353,-0.060000717203329,0.0105478283919557,0.0014668355145024,0.0075596743720693,19147,
19147,19148,0.0082497085982244,0.0896171003393897,0.699746153452252,100050.645559269,131796.766886413,146921.25,100274.401636051,148283.069479631,297.999999999998,348.363774387593,0.151084592248855,0.106851890927688,-0.0224901529795044,1.46519198921032,1.70405766036027e-05,0.0013328936153369,-0.0599946127768474,0.0099785538300613,0.0014537030305028,0.0074144562801475,19148,
19148,19149,0.0078837281089467,0.0916051821758172,0.701590813867121,100033.268103021,131831.047004988,146921.25,100263.837438417,148283.153287971,298.000000000001,348.245730207734,0.151103551363963,0.106963955122444,-0.0224901529795044,1.46534636767957,1.67614369173125e-05,0.0013872776450784,-0.0599868240785492,0.0096433251339504,0.0013832838994177,0.0073201463948249,19149,
19149,19150,0.0076708538709606,0.0938564172550174,0.703312789113586,100016.627449365,131864.515211294,146921.25,100254.221983143,148283.171570406,298.0,348.135710379658,0.151116384417552,0.107039793222099,-0.0224901529795044,1.46548691011441,1.64591266191432e-05,0.001459228921452,-0.0599773325145889,0.0095595464260374,0.0013071233852099,0.0072642894884771,19150,
19150,19151,0.0075831748502583,0.0957837459980302,0.704906015413135,100000.715981368,131897.127321577,146921.25,100245.38581708,148283.119000163,298.000000000001,348.034252063561,0.151122625321164,0.107076669755759,-0.0224901529795044,1.46561608599213,1.61373276838878e-05,0.0015462114258829,-0.0599662367515957,0.0095924769301851,0.0012336681770727,0.0072369376279596,19151,
19151,19152,0.0075971200274082,0.0958865264074849,0.70636399347185,99985.5280614208,131928.915494522,146921.25,100237.200209829,148282.991415969,297.999999999999,347.941870343645,0.151121892472009,0.10707233962134,-0.0224901529795044,1.46573577167404,1.58006882734757e-05,0.0016442545507492,-0.0599536026456334,0.009680172116814,0.0011624860631681,0.0072319228715409,19152,
19152,19153,0.0076917895299755,0.096054347008852,0.707680044707055,99971.0523580262,131959.83803679,146921.25,100229.570107525,148282.789130176,297.999999999998,347.85905429772,0.15111417726704,0.10702675078218,-0.0224901529795044,1.46584735265636,1.54506796678994e-05,0.0017518854693705,-0.059939473878381,0.0098962286374445,0.0011028548013727,0.0072459532408886,19153,
19153,19154,0.0078493394792374,0.0944606617254177,0.708848768390578,99957.2728716419,131989.881886949,146921.25,100222.411443063,148282.506751056,298.000000000001,347.786187798062,0.151099008252051,0.106937104101116,-0.0224901529795044,1.46595205488013,1.50886423468931e-05,0.00186615087086,-0.0599239153189612,0.0100094153702665,0.0010500421940136,0.0072754780160265,19154,
19154,19155,0.0080563943409159,0.0917855606828728,0.709864624448972,99944.178369483,132019.071789678,146921.25,100215.663145457,148282.144302972,298.0,347.723645988155,0.151076345850167,0.106803139050923,-0.0224901529795044,1.46605076879802,1.47276140236826e-05,0.0019842622992213,-0.059907028917242,0.0094391728058612,0.001030609065349,0.0073193555794813,19155,
19155,19156,0.0083001622626574,0.0888033358140457,0.710722898300514,99931.7490445966,132047.347796143,146921.25,100209.280674805,148281.699682615,297.999999999998,347.6717312433,0.151045990816572,0.106623637294046,-0.0224901529795044,1.46614414364258,1.43675577892128e-05,0.0021047011266329,-0.0598888420540926,0.008800317764545,0.0010354137081802,0.0073764983486296,19156,
19156,19157,0.008571614034929,0.0860818257998586,0.711420535021164,99919.9697389673,132074.629820705,146921.25,100203.226722298,148281.169417217,297.999999999999,347.630630304523,0.151007652821202,0.10639682588272,-0.0224901529795044,1.46623272329519,1.4016514508254e-05,0.0022259382703253,-0.0598694465871204,0.008327688627692,0.0010566329502911,0.007442851639206,19157,
19157,19158,0.0088621595163955,0.0834104647402837,0.711954025125795,99908.8230334612,132100.839437915,146921.25,100197.479087662,148280.556838823,298.000000000001,347.600560598068,0.150961568176146,0.106124032047852,-0.0224901529795044,1.4663168309001,1.36819652422987e-05,0.0023469508830626,-0.0598489494552456,0.0079708881335189,0.0010865028120498,0.0075158931719689,19158,
19158,19159,0.0091652604941153,0.0805317072951358,0.712321065406646,99898.2902119533,132125.87118011,146921.25,100192.015521511,148279.857924389,298.0,347.581662835694,0.150907403226609,0.105803194596137,-0.0224901529795044,1.46639679055519,1.33731579664818e-05,0.0024657421666041,-0.0598274288859584,0.0076886424643411,0.00112095816984,0.0075932837886765,19159,
19159,19160,0.0094763926674343,0.077426865997127,0.712520946512628,99888.3481537614,132149.601202816,146921.25,100186.822064232,148279.070262586,297.999999999999,347.573972229274,0.150844968602163,0.105433087178941,-0.0224901529795044,1.46647280523387,1.31026833379717e-05,0.0025816139615223,-0.0598050285209741,0.0075071571822649,0.0011581878898294,0.0076726012533037,19160,
19160,19161,0.0097906463704564,0.0736988505920862,0.712553433891441,99878.978177486,132171.882180786,146921.25,100181.882941027,148278.194032304,298.0,347.577511386488,0.150774263620497,0.105013583640003,-0.0224901529795044,1.46654510463221,1.28740728426906e-05,0.0026933927818993,-0.0597818377236005,0.0074036349720699,0.001196788485943,0.0077521863353894,19161,
19161,19162,0.0101045652617323,0.0693689826558664,0.712419164043856,99870.1595213522,132192.527541672,146921.25,100177.194681412,148277.228390739,298.0,347.59224076246,0.150695217580757,0.104544125265871,-0.0224901529795044,1.46661373845859,1.26978361832013e-05,0.0028003272634235,-0.0597579052261739,0.0073744097025718,0.0012359874073198,0.007831084165232,19162,
19162,19163,0.0104155572092213,0.0639187420140371,0.712119543357269,99861.8641076525,132211.272813101,146921.25,100172.748409707,148276.168920056,297.999999999999,347.618086844175,0.150607499279633,0.1040225850475,-0.0224901529795044,1.46667883563593,1.25750641668686e-05,0.0029016884010922,-0.0597333549789222,0.0073944736710499,0.0012752230403743,0.0079077877959446,19163,
