,Iteration: Iteration,Continuity: Continuity,Energy: Energy,Isentropic Efficiency Monitor: Expression,MFA Ps 1 Monitor: Mass Flow Averaged of Absolute Pressure (Pa),MFA Ps 3 Monitor: Mass Flow Averaged of Absolute Pressure (Pa),MFA Ps Outlet Monitor: Mass Flow Averaged of Absolute Pressure (Pa),MFA Pt Inlet Monitor: Mass Flow Averaged of Absolute Total Pressure (Pa),MFA Pt Outlet Monitor: Mass Flow Averaged of Absolute Total Pressure (Pa),MFA Tt Inlet Monitor: Mass Flow Averaged of Total Temperature (K),MFA Tt Outlet Monitor: Mass Flow Averaged of Total Temperature (K),Mass Flow  Volute Monitor: Mass Flow of Mass Flow Rate (lb/s),Mass Flow Error Monitor: Expression,Mass Flow Impeller Monitor: Mass Flow of Mass Flow Rate (lb/s),PRts Monitor: Expression,Sdr: Sdr,Tke: Tke,Torque Monitor: Moment (N-m),X-momentum: X-momentum,Y-momentum: Y-momentum,Z-momentum: Z-momentum,Iteration: Iteration.1,Physical Time: Physical Time (s)
29133,29134,0.044007403999615,0.164341958919905,0.639416608598683,100077.258501223,131732.184900505,146921.25,100375.978999822,148060.537557701,298.000000000001,352.741382073296,0.13585749839764,0.106071968630972,-0.0202411376815539,1.46370926056183,1.21165966936085e-05,0.0013538904647311,-0.0564391167116281,0.013753033382615,0.0025960497154287,0.0201494247442093,29134,
29134,29135,0.0378643797726946,0.160257473006923,0.639718628810157,100062.827010364,131663.813990122,146921.25,100305.187358937,148060.3860245,297.999999999999,352.820325309129,0.135836380866079,0.105932995895568,-0.0202411376815539,1.46474229168478,1.32422847744021e-05,0.0014320572471904,-0.0564411385576989,0.0125252470626932,0.0028166525532329,0.0175065406342307,29135,
29135,29136,0.0326849973781002,0.15090186217324,0.639902051040002,100047.514177326,131594.355612684,146921.25,100246.831516657,148060.201038118,298.0,352.890977663534,0.135813037386434,0.105779324088261,-0.0202411376815539,1.46559494975746,1.3418127142601e-05,0.0015264158938265,-0.0564436921749,0.0117677939204006,0.0029990005743266,0.0154719957856749,29136,
29136,29137,0.0283498425257614,0.136353271850282,0.64002207853181,100033.944917304,131527.582582455,146921.25,100199.313068602,148059.898702986,297.999999999998,352.950892701231,0.135779935631902,0.105561322266604,-0.0202411376815539,1.4662899924215,1.24063052299437e-05,0.0016428610473938,-0.0564466394851196,0.011018898859817,0.0030644217686634,0.0138555868104544,29137,
29137,29138,0.0247426571372473,0.124694182850302,0.640100411364117,100020.608830371,131463.822061507,146921.25,100160.17439736,148059.6001755,298.0,353.001971335393,0.135748172875365,0.105352038875483,-0.0202411376815539,1.46686296109197,1.15413474857187e-05,0.0017616140163215,-0.0564492966309028,0.0114756817286405,0.0032670611146029,0.01258391346551,29138,
29138,29139,0.0217580970662298,0.118085951608348,0.640144107321717,100007.874803036,131405.596781167,146921.25,100128.249111425,148059.293721148,298.000000000002,353.045322003002,0.135716495220479,0.105143218648357,-0.0202411376815539,1.46733066146501,1.07251647594006e-05,0.0018825927648531,-0.0564522561562067,0.0130562270141622,0.0037410913879388,0.0115617166736735,29139,
29139,29140,0.0192914137849267,0.11462047098053,0.640166517604858,99995.7155251339,131354.251964041,146921.25,100102.22559258,148058.999183221,298.000000000002,353.081760234614,0.135686621903655,0.104946203351152,-0.0202411376815539,1.46771212258532,9.97584246061942e-06,0.0019902103087263,-0.0564554798914269,0.0138441727878235,0.0040388463756048,0.0107167364612816,29140,
29140,29141,0.0172498870051124,0.104613137086383,0.6401768887732,99984.1001733974,131310.654317464,146921.25,100081.059329529,148058.724219677,298.0,353.112045697831,0.135659157323901,0.104764997180718,-0.0202411376815539,1.46802253077921,9.31033809670487e-06,0.0020533333723756,-0.0564590646708882,0.0123422370812509,0.0034316301346577,0.010001973225976,29141,
29141,29142,0.0155504635451824,0.0904277772277957,0.640182695663124,99973.0098222365,131277.144301179,146921.25,100063.889923312,148058.474365327,298.000000000001,353.136815346493,0.135634514352627,0.104602344993234,-0.0202411376815539,1.46827442059867,8.63420555556101e-06,0.0020803516571829,-0.056463081996588,0.010279352882699,0.0026157661520516,0.0093868672287898,29142,
29142,29143,0.0140936204958505,0.0757522813607971,0.640177118100608,99961.6431855395,131252.138933879,146921.25,100049.592330869,148058.270767438,297.999999999996,353.158347554947,0.135614465196366,0.104469969973542,-0.0202411376815539,1.46848424443474,8.36209143082509e-06,0.0020634700447932,-0.0564684237153903,0.0086148845125723,0.0018541570319722,0.0088260056719854,29143,
