,Iteration: Iteration,Continuity: Continuity,Energy: Energy,Isentropic Efficiency Monitor: Expression,MFA Ps 1 Monitor: Mass Flow Averaged of Absolute Pressure (Pa),MFA Ps 3 Monitor: Mass Flow Averaged of Absolute Pressure (Pa),MFA Ps Outlet Monitor: Mass Flow Averaged of Absolute Pressure (Pa),MFA Pt Inlet Monitor: Mass Flow Averaged of Absolute Total Pressure (Pa),MFA Pt Outlet Monitor: Mass Flow Averaged of Absolute Total Pressure (Pa),MFA Tt Inlet Monitor: Mass Flow Averaged of Total Temperature (K),MFA Tt Outlet Monitor: Mass Flow Averaged of Total Temperature (K),Mass Flow  Volute Monitor: Mass Flow of Mass Flow Rate (lb/s),Mass Flow Error Monitor: Expression,Mass Flow Impeller Monitor: Mass Flow of Mass Flow Rate (lb/s),PRts Monitor: Expression,Sdr: Sdr,Tke: Tke,Torque Monitor: Moment (N-m),X-momentum: X-momentum,Y-momentum: Y-momentum,Z-momentum: Z-momentum,Iteration: Iteration,Physical Time: Physical Time (s)
24,24,2.85297585,2.94188508,2.240073057,101328.0494,101334.5908,113543.3151,101325.188,127214.3189,298.8957259,307.8583914,-0.520967872,1.000150933,-1.31E-05,1.120583315,0.001564588,0.037554634,-0.572722281,0.375319774,0.618134706,0.528420224,24,
25,25,2.717029994,2.80352372,2.076482205,101330.6471,101332.74,112859.0735,101325.1689,127287.3004,298.7533207,308.4426523,-0.533589664,1.00039894,-3.55E-05,1.113830599,0.001434042,0.034556763,-0.586685598,0.356414917,0.606370646,0.498154825,25,
26,26,2.553816013,2.635491927,1.974186389,101333.4003,101326.8009,112259.7795,101325.1746,127356.0154,298.7452573,308.9612881,-0.544416187,1.000432126,-3.92E-05,1.107915974,0.001266895,0.032176059,-0.598198099,0.339148978,0.590423498,0.470484229,26,
27,27,2.386777938,2.462425164,1.944454327,101336.2545,101316.73,111728.2666,101325.2474,127421.068,299.0211991,309.4269408,-0.553861956,0.999996291,3.42E-07,1.102669566,0.001362502,0.030517096,-0.607350378,0.324628304,0.57180036,0.44729179,27,
28,28,2.230043455,2.299274858,1.870782974,101339.2052,101303.3862,111244.002,101325.2528,127483.5741,299.0165329,309.8557943,-0.562333485,1.000001575,-1.48E-07,1.097890199,0.00128464,0.029715366,-0.614250336,0.312981866,0.551533452,0.42842565,28,
29,29,2.088038566,2.151342742,1.833027999,101341.8273,101290.5936,110789.5572,101325.2974,127544.8875,299.170029,310.2621486,-0.570153039,0.999822898,1.68E-05,1.093404708,0.001204513,0.029727367,-0.619075033,0.304047515,0.530823307,0.413101294,29,
30,30,1.954462488,2.01184353,1.786111527,101344.4281,101284.5975,110416.9238,101325.3098,127596.092,299.1926459,310.5974977,-0.576492271,0.999791557,2.00E-05,1.089726979,0.001094908,0.030492957,-0.621932572,0.297547799,0.50907545,0.401977226,30,
31,31,1.835211191,1.887358156,1.748231012,101347.0235,101298.7683,110059.7288,101325.3311,127648.4378,299.2470203,310.9225244,-0.582512314,0.999728399,2.64E-05,1.086201521,0.001129384,0.031940756,-0.622847457,0.291212949,0.488044009,0.391505785,31,
32,32,1.72610411,1.773790721,1.702246783,101349.642,101349.8672,109717.5768,101325.3326,127699.9596,299.2243888,311.2360364,-0.588204014,0.999742156,2.53E-05,1.082824739,0.001118421,0.033906852,-0.621804198,0.284724747,0.467666941,0.381608945,32,
33,33,1.626067844,1.670024193,1.667606473,101352.2809,101458.4351,109392.7028,101325.3481,127750.2686,299.2519375,311.5357935,-0.593551377,0.999706009,2.91E-05,1.079618327,0.00082988,0.036215575,-0.618765152,0.278972069,0.447952949,0.372512215,33,
34,34,1.535306035,1.576399218,1.626479646,101354.9249,101648.8111,109087.4935,101325.3435,127799.0285,299.2055019,311.8194445,-0.598538574,0.999749393,2.50E-05,1.076606204,0.00083283,0.038695248,-0.613698098,0.274678621,0.428954687,0.365185849,34,
35,35,1.455555642,1.494591872,1.59403898,101357.5805,101932.9647,108803.3264,101325.349,127845.8842,299.1942557,312.0854279,-0.603163897,0.999757721,2.44E-05,1.073801645,0.000800396,0.041191369,-0.60651809,0.272373303,0.410633931,0.360672317,35,
36,36,1.385643762,1.423342855,1.568581849,101360.1983,102276.9471,108545.1101,101325.3619,127889.8429,299.2077282,312.3287228,-0.607401539,0.999738147,2.65E-05,1.071253121,0.00079162,0.04357054,-0.597133792,0.272158533,0.392839318,0.358794161,36,
37,37,1.323089761,1.360067938,1.542392934,101362.7834,102688.4913,108313.3876,101325.3644,127930.5252,299.186689,312.5483709,-0.611260175,0.999759958,2.45E-05,1.068966179,0.000737616,0.045714201,-0.585461851,0.273149837,0.37552298,0.358451998,37,
38,38,1.268748678,1.305477465,1.525313039,101365.3466,103211.6159,108102.9368,101325.3845,127968.58,299.2185468,312.7490936,-0.614783699,0.999720379,2.87E-05,1.066888987,0.000678736,0.047533051,-0.571438573,0.274673146,0.358899632,0.358468015,38,
39,39,1.221921619,1.258667723,1.507185437,101367.7283,103891.9678,107913.0022,101325.3969,128003.5366,299.2210862,312.9310417,-0.617985182,0.999717189,2.91E-05,1.065014355,0.000666785,0.048968095,-0.555031368,0.275788787,0.342906217,0.358000473,39,
40,40,1.171275682,1.208265716,1.493099642,101369.8801,104756.6202,107742.5414,101325.4162,128035.1746,299.2395424,313.0948077,-0.620881807,0.999697604,3.13E-05,1.063331842,0.000659504,0.050000949,-0.536296122,0.276197535,0.327344467,0.357166257,40,
41,41,1.117751737,1.154602535,1.470316898,101371.8276,105806.9655,107590.9114,101325.4038,128063.3674,299.1607975,313.2407415,-0.6234851,0.999793447,2.15E-05,1.061835506,0.000685221,0.050633898,-0.515322535,0.275969842,0.311942028,0.356444849,41,
42,42,1.070555355,1.106597119,1.458543968,101373.6684,106982.0263,107456.8137,101325.4183,128088.1449,299.1640115,313.3698703,-0.625815165,0.999791148,2.18E-05,1.060511917,0.000693419,0.050936571,-0.492311189,0.275397437,0.296682318,0.355505439,42,
43,43,1.037788827,1.072418686,1.447763069,101375.3724,108031.795,107338.1469,101325.4315,128109.5084,299.1618221,313.4838815,-0.627901091,0.99979592,2.14E-05,1.059340635,0.000702487,0.050996307,-0.467433962,0.274247826,0.281794753,0.354577815,43,
44,44,1.025517504,1.058129603,1.425393381,101376.851,108939.3582,107234.7935,101325.3963,128127.2365,299.0331462,313.5826062,-0.62975335,0.999973465,2.79E-06,1.058320989,0.000691662,0.050920403,-0.440974176,0.272357505,0.267374488,0.354321293,44,
45,45,1.03114699,1.061416131,1.414948823,101377.8552,109837.9453,107146.0855,101325.3973,128141.5097,299.0040355,313.666658,-0.631385869,1.000018597,-1.96E-06,1.057445501,0.000666994,0.050785026,-0.413312475,0.270473492,0.253438881,0.355146896,45,
46,46,1.048949331,1.07671415,1.401629892,101377.7856,110739.0659,107070.2347,101325.3804,128152.6316,298.9335561,313.7376871,-0.632825285,1.00013763,-1.45E-05,1.05669709,0.000622216,0.050628951,-0.384966865,0.267630949,0.239868682,0.356020236,46,
