,Iteration: Iteration,Continuity: Continuity,Energy: Energy,Isentropic Efficiency Monitor: Expression,MFA Ps 1 Monitor: Mass Flow Averaged of Absolute Pressure (Pa),MFA Ps 3 Monitor: Mass Flow Averaged of Absolute Pressure (Pa),MFA Ps Outlet Monitor: Mass Flow Averaged of Absolute Pressure (Pa),MFA Pt Inlet Monitor: Mass Flow Averaged of Absolute Total Pressure (Pa),MFA Pt Outlet Monitor: Mass Flow Averaged of Absolute Total Pressure (Pa),MFA Tt Inlet Monitor: Mass Flow Averaged of Total Temperature (K),MFA Tt Outlet Monitor: Mass Flow Averaged of Total Temperature (K),Mass Flow  Volute Monitor: Mass Flow of Mass Flow Rate (lb/s),Mass Flow Error Monitor: Expression,Mass Flow Impeller Monitor: Mass Flow of Mass Flow Rate (lb/s),PRts Monitor: Expression,Sdr: Sdr,Tke: Tke,Torque Monitor: Moment (N-m),X-momentum: X-momentum,Y-momentum: Y-momentum,Z-momentum: Z-momentum,Iteration: Iteration,Physical Time: Physical Time (s)
267,267,0.234724162,0.2597739,0.639704837,99346.55563,115781.8766,126656.25,101325,131695.0408,298,334.2321601,0.299667837,0.01029349,-0.049430535,1.25,0.000163551,0.030742297,-0.085643378,0.157417426,0.025665553,0.174018338,267,
268,268,0.225397988,0.249586442,0.641067388,99344.80488,115758.1058,126656.25,101325,131736.7701,298,334.2005027,0.300414061,0.009027723,-0.049617001,1.25,0.000151552,0.030300659,-0.085781668,0.158848007,0.025849664,0.17458044,268,
269,269,0.217398248,0.240822673,0.642404546,99343.69863,115730.995,126656.25,101325,131780.2695,298,334.1723183,0.301199253,0.008007393,-0.049797905,1.25,0.000143687,0.029796229,-0.085914773,0.159525405,0.025960272,0.175143208,269,
270,270,0.209930145,0.23260387,0.64363531,99343.39283,115701.1204,126656.25,101325,131822.3034,298,334.148629,0.301928248,0.007080982,-0.04996505,1.25,0.000134519,0.029124501,-0.086026333,0.15894585,0.025936853,0.175258028,270,
271,271,0.203389251,0.225378852,0.644856644,99343.94445,115669.5416,126656.25,101325,131864.9661,298,334.126227,0.302662673,0.006336374,-0.050124148,1.25,0.000125784,0.028438692,-0.086134182,0.157723674,0.0258311,0.175311605,271,
272,272,0.197653942,0.219017716,0.646056134,99345.04962,115632.7136,126656.25,101325,131907.9407,298,334.1054557,0.303393803,0.005711838,-0.050276811,1.25,0.000116781,0.027755243,-0.086234758,0.155789174,0.025651747,0.175182392,272,
273,273,0.192948253,0.213776375,0.647321382,99345.20221,115598.2817,126656.25,101325,131952.3032,298,334.082577,0.304141648,0.005264047,-0.050423439,1.25,0.000109698,0.027185066,-0.086333847,0.153449185,0.02544939,0.175049332,273,
274,274,0.188360429,0.208655844,0.648491473,99345.47197,115562.2187,126656.25,101325,131995.623,298,334.0639487,0.304856499,0.004907634,-0.050560062,1.25,0.00010539,0.026723214,-0.086415783,0.150368502,0.025166382,0.174373784,274,
275,275,0.183557075,0.203286416,0.649618095,99346.93111,115523.6486,126656.25,101325,132037.158,298,334.0458778,0.305521977,0.004605438,-0.050685819,1.25,9.75E-05,0.026142269,-0.086487077,0.146471018,0.024767893,0.172956075,275,
276,276,0.179127629,0.1983206,0.650830449,99347.38126,115485.9664,126656.25,101325,132078.6894,298,334.0231098,0.306177013,0.004446536,-0.050802598,1.25,8.53E-05,0.025514404,-0.086562111,0.142327745,0.024325486,0.17129088,276,
277,277,0.175195377,0.193906642,0.651997964,99347.89692,115447.3878,126656.25,101325,132119.9777,298,334.0026332,0.30681745,0.004306928,-0.050916002,1.25,8.11E-05,0.025097,-0.086628091,0.137906981,0.023861912,0.16945286,277,
278,278,0.171158594,0.189374356,0.653127512,99349.45923,115407.541,126656.25,101325,132159.5163,298,333.9824496,0.307413178,0.004208077,-0.051019927,1.25,7.44E-05,0.024666843,-0.08668713,0.133215934,0.02333368,0.167175001,278,
279,279,0.167628588,0.185396979,0.654371316,99349.68616,115368.8964,126656.25,101325,132199.7137,298,333.9567471,0.308015738,0.004267575,-0.051116876,1.25,6.70E-05,0.024299751,-0.086752966,0.128713112,0.022813263,0.164941309,279,
280,280,0.165045086,0.18245945,0.655566241,99350.09747,115330.7881,126656.25,101325,132238.994,298,333.9328401,0.308575482,0.004219774,-0.051212227,1.25,6.36E-05,0.024118226,-0.086812233,0.124162304,0.022297945,0.162740158,280,
281,281,0.161859806,0.178855933,0.65667184,99350.08216,115291.8947,126656.25,101325,132275.9755,298,333.9114641,0.309093496,0.004207394,-0.051298836,1.25,5.91E-05,0.023897102,-0.086862649,0.119620824,0.021717732,0.159827305,281,
282,282,0.159644177,0.176318151,0.657799851,99350.27894,115253.588,126656.25,101325,132313.0993,298,333.8890798,0.309600597,0.004247456,-0.05138093,1.25,5.56E-05,0.023830225,-0.086911837,0.115441458,0.021173495,0.157045264,282,
283,283,0.156907063,0.173212478,0.658855595,99350.45062,115215.1979,126656.25,101325,132348.1096,298,333.8684709,0.310065252,0.004291065,-0.05145579,1.25,5.12E-05,0.023735871,-0.086955499,0.111393326,0.020601297,0.153776221,283,
284,284,0.153609447,0.169500986,0.659872068,99350.81451,115177.7387,126656.25,101325,132382.0409,298,333.8489193,0.310508624,0.004372317,-0.051525164,1.25,4.71E-05,0.023637461,-0.086996899,0.107558905,0.020027716,0.150271394,284,
285,285,0.149641632,0.16506564,0.660853508,99351.22376,115141.445,126656.25,101325,132414.926,298,333.830222,0.310932661,0.00449044,-0.051589406,1.25,4.35E-05,0.023504216,-0.087036188,0.10389405,0.019449339,0.146532674,285,
286,286,0.145113941,0.160029659,0.661803744,99351.5356,115106.208,126656.25,101325,132446.8768,298,333.8122826,0.311333466,0.004615273,-0.051649429,1.25,4.07E-05,0.023347302,-0.087074573,0.100400979,0.018878355,0.142685565,286,
287,287,0.14060784,0.155023056,0.662720044,99352.46846,115074.7084,126656.25,101325,132478.0344,298,333.7953915,0.31171485,0.004748837,-0.051705761,1.25,3.84E-05,0.023179345,-0.087111257,0.097179805,0.018327958,0.138811886,287,
288,288,0.13595525,0.149862961,0.663647602,99352.39788,115040.6404,126656.25,101325,132508.816,298,333.7775416,0.312082179,0.004933944,-0.051757064,1.25,3.91E-05,0.022947582,-0.087154356,0.094258197,0.017805089,0.135107188,288,
289,289,0.132288576,0.145784728,0.664550073,99352.50303,115008.3994,126656.25,101325,132539.4642,298,333.7609468,0.31244332,0.005089039,-0.051808881,1.25,3.60E-05,0.022694651,-0.087189575,0.091833937,0.017325532,0.131670734,289,
290,290,0.128474701,0.141547587,0.665386975,99352.51838,114976.8205,126656.25,101325,132568.6885,298,333.7464301,0.312779784,0.005234599,-0.051857085,1.25,3.44E-05,0.022343309,-0.087222032,0.089625916,0.016850907,0.128239975,290,
291,291,0.124985543,0.137671033,0.666198385,99352.83166,114948.24,126656.25,101325,132597.277,298,333.7326505,0.313099389,0.005379454,-0.051902514,1.25,3.36E-05,0.021944743,-0.087252703,0.08777864,0.01640939,0.124980825,291,
292,292,0.121191199,0.133461655,0.666933117,99353.69141,114923.6714,126656.25,101325,132624.1177,298,333.7211896,0.313390125,0.005510807,-0.051943849,1.25,3.15E-05,0.021428201,-0.087281975,0.086001441,0.015961756,0.121732632,292,
293,293,0.117578505,0.129457416,0.667667112,99353.70834,114894.9797,126656.25,101325,132650.9686,298,333.7097999,0.313677828,0.005706589,-0.0519813,1.25,3.18E-05,0.020835224,-0.087316571,0.084320847,0.015537383,0.118705372,293,
294,294,0.114707368,0.126272831,0.668390279,99353.99523,114869.5033,126656.25,101325,132677.4233,298,333.6985987,0.313944258,0.005808184,-0.052020135,1.25,3.12E-05,0.020228692,-0.087342447,0.083321144,0.015181787,0.116157271,294,
295,295,0.111213785,0.122406011,0.669018341,99354.28988,114845.1837,126656.25,101325,132701.9386,298,333.6904819,0.314191442,0.005928609,-0.052054787,1.25,3.00E-05,0.019533614,-0.087366299,0.082093572,0.014795427,0.113427403,295,
296,296,0.107737812,0.118562979,0.669607157,99354.42944,114820.8195,126656.25,101325,132725.5737,298,333.6835575,0.314421226,0.006042253,-0.052086902,1.25,2.89E-05,0.018796391,-0.087388105,0.081006498,0.014427264,0.110845516,296,
297,297,0.104677932,0.115183516,0.670186808,99354.75949,114798.76,126656.25,101325,132748.9348,298,333.6768469,0.314636473,0.006137828,-0.052117548,1.25,2.94E-05,0.018060938,-0.08740799,0.080299339,0.014111143,0.108688573,297,
298,298,0.101290816,0.111445654,0.670693196,99355.11166,114777.4812,126656.25,101325,132770.7946,298,333.6724906,0.314836101,0.006243465,-0.052145072,1.25,2.76E-05,0.01725723,-0.087426678,0.079386114,0.013777378,0.106481201,298,
299,299,0.098033774,0.10785205,0.671168123,99355.83224,114760.287,126656.25,101325,132791.8274,298,333.6689565,0.315021752,0.006343641,-0.052170561,1.25,2.71E-05,0.016440305,-0.087443631,0.078550652,0.013463172,0.10448179,299,
300,300,0.09497983,0.10448249,0.671642709,99356.06584,114739.3062,126656.25,101325,132813.5305,298,333.6661345,0.315225423,0.006547295,-0.052193591,1.25,2.77E-05,0.015646779,-0.087464291,0.077614077,0.01316002,0.102651535,300,
301,301,0.092241606,0.101462303,0.67207948,99356.15718,114717.8853,126656.25,101325,132833.7048,298,333.663745,0.315392934,0.006632015,-0.052216874,1.25,2.67E-05,0.014904995,-0.087477495,0.077169308,0.012911181,0.101307045,301,
302,302,0.090005244,0.098996291,0.672521594,99356.49691,114699.7695,126656.25,101325,132853.6197,298,333.660806,0.315545134,0.006689372,-0.052239056,1.25,2.82E-05,0.01423518,-0.08748867,0.077120516,0.012716803,0.100524054,302,
303,303,0.087327936,0.096042652,0.672884813,99356.97749,114683.6715,126656.25,101325,132871.9742,298,333.6604438,0.315686212,0.00675815,-0.052258793,1.25,2.61E-05,0.013545067,-0.087500549,0.076527978,0.012474247,0.099476699,303,
304,304,0.084590611,0.09302246,0.673204107,99357.83108,114671.6706,126656.25,101325,132889.211,298,333.6612575,0.315811811,0.006814516,-0.052276618,1.25,2.44E-05,0.012875528,-0.087512066,0.075712629,0.012219207,0.098407348,304,
305,305,0.081997932,0.090162222,0.673520094,99358.20216,114655.3171,126656.25,101325,132907.4368,298,333.6632605,0.31597285,0.007021224,-0.052292389,1.25,2.43E-05,0.012239834,-0.087526776,0.074680465,0.011963966,0.097383775,305,
306,306,0.079834256,0.087776921,0.673805627,99358.59311,114640.2012,126656.25,101325,132923.6668,298,333.6648214,0.316080281,0.007056305,-0.05230832,1.25,2.38E-05,0.011690669,-0.087534498,0.074206956,0.0117639,0.09687619,306,
307,307,0.077657229,0.085376854,0.674063175,99359.50592,114633.8426,126656.25,101325,132939.0038,298,333.6669434,0.316177518,0.007085068,-0.052322896,1.25,2.36E-05,0.011156872,-0.087541541,0.073577811,0.011555779,0.096318293,307,
308,308,0.073679278,0.080988793,0.674150002,99360.35346,114623.1129,126656.25,101325,132950.1064,298,333.6737481,0.316240529,0.007061701,-0.052334555,1.25,1.95E-05,0.010455172,-0.087555692,0.070935426,0.011132001,0.093991919,308,
309,309,0.071859419,0.078983849,0.674375447,99361.06143,114617.0976,126656.25,101325,132966.3309,298,333.6784724,0.316385073,0.007295523,-0.052346146,1.25,2.15E-05,0.010022735,-0.087564304,0.070107889,0.010931467,0.093518379,309,
310,310,0.06842982,0.075202024,0.674446831,99361.80175,114607.02,126656.25,101325,132976.4777,298,333.6851073,0.316434003,0.007264271,-0.05235589,1.25,1.72E-05,0.009474202,-0.087575356,0.06769909,0.01054385,0.091469856,310,
311,311,0.066677905,0.073272777,0.674620216,99362.07594,114594.1002,126656.25,101325,132990.043,298,333.68985,0.316529748,0.007379388,-0.052365659,1.25,1.85E-05,0.009120381,-0.087581258,0.066789147,0.010340243,0.090952096,311,
312,312,0.06535052,0.071811984,0.674802464,99362.59541,114589.0886,126656.25,101325,133002.0539,298,333.6925267,0.316579272,0.007363174,-0.052374707,1.25,2.10E-05,0.00885145,-0.087581788,0.066452464,0.010198727,0.090881502,312,
313,313,0.062421025,0.06858316,0.674853324,99363.14879,114584.1844,126656.25,101325,133010.9965,298,333.699005,0.316616891,0.007326022,-0.052382891,1.25,1.62E-05,0.00840594,-0.087590093,0.064213889,0.009846984,0.089025661,313,
314,314,0.059755274,0.065645774,0.674890758,99363.80969,114574.9944,126656.25,101325,133019.7604,298,333.7060091,0.316654968,0.007303453,-0.052390382,1.25,1.50E-05,0.008047851,-0.087597664,0.062128342,0.009521176,0.087338002,314,
315,315,0.058462024,0.064223361,0.675016209,99364.26302,114570.231,126656.25,101325,133031.2301,298,333.7111284,0.316733659,0.007412444,-0.052397648,1.25,1.74E-05,0.007829576,-0.087599156,0.061357521,0.009357136,0.086963139,315,
316,316,0.056170201,0.061699002,0.675048737,99364.86757,114561.4559,126656.25,101325,133039.408,298,333.7177882,0.316769111,0.007396275,-0.052404367,1.25,1.42E-05,0.007532385,-0.087604832,0.059450338,0.009061866,0.085425,316,
317,317,0.055116464,0.060541162,0.675163798,99365.22384,114556.8592,126656.25,101325,133050.109,298,333.7226649,0.316845424,0.007514036,-0.052410773,1.25,1.75E-05,0.007374449,-0.08760451,0.058826233,0.00892306,0.08517705,317,
318,318,0.053133337,0.058356942,0.675195107,99365.73392,114548.6196,126656.25,101325,133057.5322,298,333.7286132,0.316873408,0.00748893,-0.052416727,1.25,1.38E-05,0.007125291,-0.087608658,0.057086959,0.00865297,0.083724582,318,
319,319,0.052313562,0.057456151,0.675306358,99366.00468,114544.3278,126656.25,101325,133067.509,298,333.7329459,0.316947997,0.007619017,-0.052422194,1.25,1.73E-05,0.007014363,-0.087606855,0.056605368,0.008537294,0.083502479,319,
320,320,0.050538663,0.055501349,0.675337989,99366.49493,114536.696,126656.25,101325,133074.2207,298,333.738146,0.316970303,0.007588823,-0.052427479,1.25,1.35E-05,0.006802683,-0.087609854,0.054979248,0.008286344,0.082059335,320,
321,321,0.04987758,0.05477441,0.675438911,99366.71197,114532.6263,126656.25,101325,133083.1432,298,333.7419424,0.317031441,0.007691153,-0.052432184,1.25,1.66E-05,0.006732834,-0.087607073,0.054592793,0.008187373,0.08185139,321,
322,322,0.048324836,0.053064054,0.675471814,99366.95586,114528.5824,126656.25,101325,133089.2833,298,333.7464879,0.317051558,0.007663657,-0.052436964,1.25,1.32E-05,0.006549889,-0.087609238,0.053077773,0.007957945,0.080455899,322,
323,323,0.046913645,0.051510012,0.675500392,99367.44909,114521.771,126656.25,101325,133095.2248,298,333.7510585,0.317072212,0.007644619,-0.052441386,1.25,1.26E-05,0.006406936,-0.087610958,0.051677653,0.007746489,0.079146548,323,
324,324,0.046435278,0.050984066,0.675587692,99367.90929,114515.5356,126656.25,101325,133102.9722,298,333.7543691,0.317126216,0.007742197,-0.05244516,1.25,1.58E-05,0.006385969,-0.087607274,0.051380671,0.00767132,0.078946609,324,
325,325,0.046003939,0.050509163,0.675666618,99368.09689,114512.3221,126656.25,101325,133109.896,298,333.7572786,0.317162676,0.007789099,-0.052448711,1.25,1.66E-05,0.006375463,-0.087603421,0.051104325,0.007600222,0.078734472,325,
326,326,0.044715188,0.049090208,0.675687641,99368.63968,114506.831,126656.25,101325,133114.9115,298,333.761299,0.317176671,0.007757103,-0.052452716,1.25,1.26E-05,0.006226858,-0.087604548,0.049775573,0.007407559,0.077392213,326,
327,327,0.044445613,0.048793523,0.675761921,99368.79721,114503.9281,126656.25,101325,133122.2839,298,333.7649118,0.317244819,0.007918177,-0.05245547,1.25,1.60E-05,0.006258198,-0.087600433,0.049649507,0.007361206,0.077255131,327,
328,328,0.043252173,0.047479534,0.675781012,99368.96987,114501.1553,126656.25,101325,133126.7322,298,333.7684529,0.317254426,0.007883416,-0.052458896,1.25,1.22E-05,0.006114148,-0.087601175,0.04838228,0.007182737,0.075908198,328,
329,329,0.042147117,0.046263254,0.675793469,99369.49061,114496.4124,126656.25,101325,133130.9426,298,333.7721013,0.317262995,0.007854282,-0.052461854,1.25,1.17E-05,0.006005239,-0.087601694,0.047201136,0.007016215,0.074617781,329,
330,330,0.041836847,0.045921748,0.675834996,99369.62693,114493.8192,126656.25,101325,133135.9838,298,333.7750607,0.317282543,0.007878365,-0.052463813,1.25,1.39E-05,0.006030092,-0.087597622,0.047013901,0.006970726,0.074308976,330,
331,331,0.040784633,0.044763956,0.675845205,99370.18434,114489.8643,126656.25,101325,133139.6837,298,333.7783055,0.317288327,0.007845106,-0.052466528,1.25,1.10E-05,0.005903066,-0.087597828,0.045866775,0.006812764,0.073013058,331,
332,332,0.040533225,0.044487201,0.675875916,99370.28613,114487.536,126656.25,101325,133144.2836,298,333.7813851,0.317309013,0.007879823,-0.052468112,1.25,1.37E-05,0.005922252,-0.087593779,0.04570167,0.006775827,0.072721892,332,
333,333,0.039526499,0.043379479,0.675886043,99370.81892,114484.2884,126656.25,101325,133147.5942,298,333.7842354,0.317314805,0.007853728,-0.05247045,1.25,1.07E-05,0.005781325,-0.087593916,0.044591843,0.006626994,0.071443349,333,
334,334,0.039271465,0.043098592,0.67590587,99370.9028,114482.3608,126656.25,101325,133151.5603,298,333.7872425,0.317329298,0.007879647,-0.052471476,1.25,1.32E-05,0.00578316,-0.087590135,0.044420456,0.006593504,0.071108545,334,
335,335,0.038314619,0.042045906,0.675910587,99371.00158,114480.4174,126656.25,101325,133154.4558,298,333.7899543,0.317333281,0.007855162,-0.05247343,1.25,1.04E-05,0.005633946,-0.087590282,0.043348431,0.006452514,0.06983263,335,
336,336,0.037418095,0.041059856,0.675911867,99371.56098,114478.1148,126656.25,101325,133157.2075,298,333.792701,0.317337853,0.007837222,-0.052475134,1.25,9.97E-06,0.005498846,-0.087590247,0.042338039,0.006321792,0.068636253,336,
337,337,0.037159228,0.040775034,0.675909303,99371.62007,114476.5607,126656.25,101325,133160.2305,298,333.7959287,0.317341668,0.007844541,-0.052475378,1.25,1.26E-05,0.005468802,-0.087586777,0.042131477,0.006292108,0.068281095,337,
338,338,0.036310945,0.039842503,0.675907024,99371.76599,114475.1874,126656.25,101325,133162.632,298,333.7985057,0.317345221,0.007828379,-0.05247682,1.25,9.63E-06,0.005320941,-0.087586689,0.04115303,0.006168087,0.067104381,338,
339,339,0.035544596,0.039000283,0.67589928,99371.89651,114473.8001,126656.25,101325,133164.8594,298,333.8011939,0.317347673,0.007814088,-0.052477982,1.25,9.25E-06,0.00518416,-0.087586399,0.040243195,0.006055323,0.066003892,339,
340,340,0.034835829,0.038221616,0.675889159,99372.05258,114472.5566,126656.25,101325,133166.9828,298,333.8039018,0.317351281,0.007807473,-0.052478928,1.25,8.91E-06,0.005052114,-0.087585997,0.039379213,0.005949351,0.06494255,340,
341,341,0.034176168,0.037497039,0.67587651,99372.23223,114471.3528,126656.25,101325,133168.927,298,333.8065605,0.317353298,0.007796821,-0.052479825,1.25,8.70E-06,0.004925007,-0.087585401,0.038553014,0.005849012,0.063919845,341,
342,342,0.033560748,0.03682117,0.675860747,99372.41362,114470.2956,126656.25,101325,133170.7484,298,333.8092585,0.317355341,0.00778951,-0.05248055,1.25,8.57E-06,0.004802477,-0.087584595,0.037770894,0.005755006,0.062921357,342,
343,343,0.032987296,0.036191608,0.675844174,99372.60334,114469.3167,126656.25,101325,133172.5009,298,333.8119292,0.317359237,0.00779022,-0.052481156,1.25,8.53E-06,0.00468383,-0.087583632,0.037028816,0.005666855,0.061949211,343,
344,344,0.032415329,0.035563825,0.675826087,99372.80131,114468.4241,126656.25,101325,133174.1049,298,333.8145282,0.3173622,0.007790845,-0.052481613,1.25,8.38E-06,0.004570295,-0.087582575,0.036323583,0.005582322,0.060988337,344,
345,345,0.031856814,0.034950675,0.675807342,99372.97534,114467.5811,126656.25,101325,133175.5878,298,333.8170384,0.317364917,0.007792783,-0.05248196,1.25,8.41E-06,0.004456617,-0.087581437,0.035645776,0.005501817,0.060052155,345,
346,346,0.031313358,0.034354007,0.675787269,99373.60438,114467.3541,126656.25,101325,133176.9341,298,333.8194795,0.317366807,0.007793721,-0.052482223,1.25,8.30E-06,0.004349988,-0.087580182,0.034984267,0.005424452,0.059139649,346,
347,347,0.03114311,0.034167644,0.675732158,99373.73678,114466.8671,126656.25,101325,133177.903,298,333.8233919,0.317352131,0.007780182,-0.052480512,1.25,1.23E-05,0.004313503,-0.087576543,0.034858902,0.005416906,0.058793709,347,
348,348,0.030568261,0.033536335,0.675714574,99373.89132,114466.5938,126656.25,101325,133179.0806,298,333.8255288,0.317355353,0.007785775,-0.052480749,1.25,8.42E-06,0.004199856,-0.087575274,0.034185266,0.005338398,0.057848038,348,
349,349,0.030021795,0.032936428,0.675699474,99374.04129,114466.3498,126656.25,101325,133180.3367,298,333.8276144,0.317364554,0.007814926,-0.052480729,1.25,7.98E-06,0.004095429,-0.087574051,0.033542119,0.005263627,0.056935651,349,
350,350,0.02950524,0.032369431,0.675679397,99374.20902,114466.1719,126656.25,101325,133181.3059,298,333.8296705,0.317367231,0.007825704,-0.052480601,1.25,7.85E-06,0.003997215,-0.087572768,0.032923201,0.005191672,0.056056263,350,
351,351,0.028994644,0.031809058,0.675659578,99374.80546,114466.1125,126656.25,101325,133182.1828,298,333.8316187,0.317369833,0.007838206,-0.052480371,1.25,7.78E-06,0.003901341,-0.087571444,0.032315011,0.005121507,0.055199852,351,
352,352,0.028824933,0.031623178,0.675570318,99374.91583,114466.103,126656.25,101325,133181.1946,298,333.8353418,0.317306417,0.007683698,-0.052478055,1.25,1.14E-05,0.003869023,-0.087567814,0.032167699,0.005112998,0.054848956,352,
353,353,0.028318867,0.031067601,0.675553551,99375.0562,114466.1774,126656.25,101325,133181.9253,298,333.8369789,0.317309723,0.007699887,-0.052477746,1.25,7.76E-06,0.003770658,-0.087566427,0.031552153,0.005041339,0.053983797,353,
354,354,0.027817698,0.030517334,0.675534444,99375.22113,114466.2941,126656.25,101325,133182.593,298,333.8386757,0.317313398,0.007720159,-0.052477281,1.25,7.41E-06,0.003682492,-0.087565014,0.030956786,0.004972223,0.05311215,354,
355,355,0.027351204,0.030005282,0.675513466,99375.38722,114466.4564,126656.25,101325,133183.0814,298,333.8402884,0.317313316,0.007732976,-0.05247659,1.25,7.24E-06,0.003598421,-0.087563412,0.030380156,0.00490548,0.052276459,355,
356,356,0.026893556,0.029502859,0.675493364,99375.54741,114466.7846,126656.25,101325,133183.6107,298,333.8418966,0.31731693,0.007759458,-0.052475787,1.25,7.09E-06,0.003517503,-0.087561823,0.029815322,0.00483948,0.051458411,356,
357,357,0.026454939,0.029021439,0.675477093,99375.71777,114467.2339,126656.25,101325,133184.1921,298,333.843355,0.317324522,0.007799399,-0.05247493,1.25,7.00E-06,0.003440469,-0.087560311,0.029262784,0.00477477,0.050658372,357,
358,358,0.026030316,0.028555605,0.675464391,99376.27457,114467.6081,126656.25,101325,133184.8426,298,333.8446947,0.317336539,0.007854553,-0.052474,1.25,6.97E-06,0.003368666,-0.087558791,0.028719299,0.004710639,0.04986863,358,
359,359,0.025885635,0.028397321,0.675370294,99376.38263,114468.1463,126656.25,101325,133183.2499,298,333.8480587,0.317270202,0.007698423,-0.052471287,1.25,1.05E-05,0.003342735,-0.08755539,0.028546477,0.004698498,0.049505286,359,
360,360,0.02544151,0.027910076,0.67537019,99376.50369,114468.5244,126656.25,101325,133184.1329,298,333.8489679,0.317293799,0.007785724,-0.052470573,1.25,7.04E-06,0.003264094,-0.087553811,0.027989924,0.004630574,0.048696016,360,
361,361,0.0250114,0.027438115,0.675360004,99376.62484,114468.9138,126656.25,101325,133184.5094,298,333.8498939,0.317301914,0.007826125,-0.052469778,1.25,6.76E-06,0.003194237,-0.087552144,0.027457402,0.004564992,0.047914945,361,
362,362,0.024579354,0.026964094,0.675352053,99377.12158,114468.72,126656.25,101325,133184.853,298,333.8506677,0.31731058,0.0078705,-0.052468865,1.25,6.61E-06,0.003127477,-0.087550406,0.02693129,0.00449968,0.04714094,362,
363,363,0.024398884,0.026766279,0.675246629,99377.19697,114469.0913,126656.25,101325,133182.1282,298,333.8534756,0.317213244,0.007616003,-0.052466225,1.25,1.02E-05,0.003098479,-0.087546881,0.026712204,0.004479398,0.046743462,363,
364,364,0.02397298,0.026299067,0.675245737,99377.30001,114469.4392,126656.25,101325,133182.4464,298,333.8538487,0.317224088,0.007663902,-0.052465486,1.25,6.58E-06,0.003027102,-0.087545059,0.026186391,0.004412902,0.045976621,364,
365,365,0.023547419,0.025832281,0.675244709,99377.42933,114469.9175,126656.25,101325,133182.7679,298,333.8542324,0.317236394,0.007718727,-0.052464622,1.25,6.41E-06,0.002963628,-0.0875432,0.025671233,0.004347225,0.045217648,365,
366,366,0.023093923,0.025334693,0.675244239,99377.54921,114470.2729,126656.25,101325,133183.0852,298,333.8545822,0.317250313,0.0077813,-0.052463616,1.25,6.27E-06,0.002904699,-0.087541363,0.025161806,0.004280716,0.044436466,366,
367,367,0.022646037,0.024843189,0.67524154,99378.00831,114469.7925,126656.25,101325,133183.2245,298,333.8548681,0.317259341,0.007828308,-0.052462623,1.25,6.18E-06,0.002848224,-0.087539425,0.024660803,0.004214856,0.043665893,367,
368,368,0.022429751,0.024606187,0.675138228,99378.0868,114470.0907,126656.25,101325,133180.0111,298,333.8570647,0.31715285,0.007547011,-0.052459882,1.25,9.76E-06,0.002822167,-0.087535689,0.024427413,0.004189593,0.043248821,368,
369,369,0.022000004,0.024134848,0.675139079,99378.16547,114470.635,126656.25,101325,133180.0608,298,333.8570704,0.317160955,0.007588297,-0.052459041,1.25,6.06E-06,0.00276529,-0.087533624,0.02392963,0.004123185,0.042510421,369,
370,370,0.021554214,0.023645941,0.67515055,99378.25789,114470.95,126656.25,101325,133180.5732,298,333.8569857,0.317185906,0.007684922,-0.05245806,1.25,6.03E-06,0.0027149,-0.087531643,0.023436643,0.004056551,0.041756395,370,
371,371,0.021122271,0.023172149,0.675153281,99378.36856,114471.3673,126656.25,101325,133180.6535,298,333.856923,0.317197012,0.007738762,-0.05245705,1.25,5.84E-06,0.00266661,-0.0875295,0.022958532,0.003991222,0.041020213,371,
372,372,0.02070332,0.02271269,0.675155478,99378.811,114470.7541,126656.25,101325,133180.7213,298,333.8568758,0.317208459,0.007795198,-0.052455959,1.25,5.75E-06,0.002620493,-0.087527311,0.02249174,0.003927155,0.040309386,372,
373,373,0.02047911,0.022467073,0.675053731,99378.86198,114471.0993,126656.25,101325,133177.3671,298,333.8588455,0.317101868,0.007511246,-0.05245334,1.25,9.23E-06,0.002598945,-0.08752345,0.02225616,0.003899195,0.039910708,373,
374,374,0.020070667,0.022019075,0.675059451,99378.93728,114471.4353,126656.25,101325,133177.3669,298,333.8585415,0.317112601,0.007561876,-0.052452439,1.25,5.64E-06,0.002547883,-0.087521217,0.021793552,0.003834284,0.039224487,374,
375,375,0.019679024,0.021589526,0.675063907,99379.02389,114471.753,126656.25,101325,133177.3449,298,333.8582822,0.317123252,0.00761381,-0.052451456,1.25,5.46E-06,0.002501195,-0.087518931,0.021342524,0.003770443,0.038558675,375,
376,376,0.019300295,0.021174196,0.675067716,99379.10849,114471.9907,126656.25,101325,133177.2802,298,333.8580136,0.317133006,0.007663928,-0.05245042,1.25,5.39E-06,0.002455096,-0.087516619,0.020901239,0.003707133,0.037911288,376,
377,377,0.01893971,0.020778817,0.675071047,99379.53006,114471.8519,126656.25,101325,133177.1591,298,333.8577127,0.317141333,0.007709581,-0.052449384,1.25,5.33E-06,0.002409016,-0.087514278,0.020470834,0.003644989,0.037281917,377,
378,378,0.018754922,0.020576918,0.674993209,99379.59699,114472.0601,126656.25,101325,133174.5709,298,333.8591972,0.31706425,0.007516016,-0.052446865,1.25,7.91E-06,0.002387231,-0.08751058,0.02024105,0.003615733,0.036937382,378,
